"Step","exp_name: gpt_video_cons_npred - rank_eps001","exp_name: gpt_video_cons_npred - rank_eps001__MIN","exp_name: gpt_video_cons_npred - rank_eps001__MAX","exp_name: gpt_video_cons_nproj - rank_eps001","exp_name: gpt_video_cons_nproj - rank_eps001__MIN","exp_name: gpt_video_cons_nproj - rank_eps001__MAX","exp_name: gpt_video_cons_nproj_npred - rank_eps001","exp_name: gpt_video_cons_nproj_npred - rank_eps001__MIN","exp_name: gpt_video_cons_nproj_npred - rank_eps001__MAX","exp_name: gpt_video_cons - rank_eps001","exp_name: gpt_video_cons - rank_eps001__MIN","exp_name: gpt_video_cons - rank_eps001__MAX"
"0","328.65384615384613","288","414","328.15384615384613","295","417","340.61538461538464","300","438","330.72727272727275","295","387"
"1000","","","","","","","","","","328.4166666666667","300","387"
"2000","","","","","","","","","","328.4166666666667","300","387"
"3000","","","","","","","","","","328.4166666666667","300","387"
"4000","","","","","","","","","","328.4166666666667","300","387"
"5000","","","","","","","","","","328.4166666666667","300","387"
"6000","","","","","","","","","","328.4166666666667","300","387"
"7000","","","","","","","","","","328.4166666666667","300","387"
"8000","","","","","","","","","","328.4166666666667","300","387"
"9000","","","","","","","","","","328.4166666666667","300","387"
"10000","","","","","","","","","","328.4166666666667","300","387"
"11000","","","","","","","","","","328.4166666666667","300","387"
"12000","","","","","","","","","","328.4166666666667","300","387"
"13000","","","","","","","","","","328.4166666666667","300","387"
"14000","","","","","","","","","","328.4166666666667","300","387"
"15000","","","","","","","","","","328.4166666666667","300","387"
"16000","","","","","","","","","","328.4166666666667","300","387"
"17000","","","","","","","","","","328.4166666666667","300","387"
"18000","","","","","","","","","","328.4166666666667","300","387"
"19000","","","","","","","","","","328.4166666666667","300","387"
"20000","","","","","","","","","","328.4166666666667","300","387"
"21000","","","","","","","","","","328.4166666666667","300","387"
"22000","","","","","","","","","","328.4166666666667","300","387"
"23000","","","","","","","","","","328.4166666666667","300","387"
"23437","453.34615384615387","347","507","180.1153846153846","76","352","327.84615384615387","113","508","445.27272727272725","322","507"
"24000","","","","","","","","","","434.4166666666667","322","507"
"25000","","","","","","","","","","434.4166666666667","322","507"
"26000","","","","","","","","","","434.4166666666667","322","507"
"27000","","","","","","","","","","434.4166666666667","322","507"
"28000","","","","","","","","","","434.4166666666667","322","507"
"29000","","","","","","","","","","434.4166666666667","322","507"
"30000","","","","","","","","","","434.4166666666667","322","507"
"31000","","","","","","","","","","434.4166666666667","322","507"
"32000","","","","","","","","","","434.4166666666667","322","507"
"33000","","","","","","","","","","434.4166666666667","322","507"
"34000","","","","","","","","","","434.4166666666667","322","507"
"35000","","","","","","","","","","434.4166666666667","322","507"
"36000","","","","","","","","","","434.4166666666667","322","507"
"37000","","","","","","","","","","434.4166666666667","322","507"
"38000","","","","","","","","","","434.4166666666667","322","507"
"39000","","","","","","","","","","434.4166666666667","322","507"
"40000","","","","","","","","","","434.4166666666667","322","507"
"41000","","","","","","","","","","434.4166666666667","322","507"
"42000","","","","","","","","","","434.4166666666667","322","507"
"43000","","","","","","","","","","434.4166666666667","322","507"
"44000","","","","","","","","","","434.4166666666667","322","507"
"45000","","","","","","","","","","434.4166666666667","322","507"
"46000","","","","","","","","","","434.4166666666667","322","507"
"46874","423.88461538461536","315","505","181.65384615384616","76","326","269.5","43","504","398.95454545454544","214","507"
"47000","","","","","","","","","","390.5833333333333","214","507"
"48000","","","","","","","","","","390.5833333333333","214","507"
"49000","","","","","","","","","","390.5833333333333","214","507"
"50000","","","","","","","","","","390.5833333333333","214","507"
"51000","","","","","","","","","","390.5833333333333","214","507"
"52000","","","","","","","","","","390.5833333333333","214","507"
"53000","","","","","","","","","","390.5833333333333","214","507"
"54000","","","","","","","","","","390.5833333333333","214","507"
"55000","","","","","","","","","","390.5833333333333","214","507"
"56000","","","","","","","","","","390.5833333333333","214","507"
"57000","","","","","","","","","","390.5833333333333","214","507"
"58000","","","","","","","","","","390.5833333333333","214","507"
"59000","","","","","","","","","","390.5833333333333","214","507"
"60000","","","","","","","","","","390.5833333333333","214","507"
"61000","","","","","","","","","","390.5833333333333","214","507"
"62000","","","","","","","","","","390.5833333333333","214","507"
"63000","","","","","","","","","","390.5833333333333","214","507"
"64000","","","","","","","","","","390.5833333333333","214","507"
"65000","","","","","","","","","","390.5833333333333","214","507"
"66000","","","","","","","","","","390.5833333333333","214","507"
"67000","","","","","","","","","","390.5833333333333","214","507"
"68000","","","","","","","","","","390.5833333333333","214","507"
"69000","","","","","","","","","","390.5833333333333","214","507"
"70000","","","","","","","","","","390.5833333333333","214","507"
"70311","398.96153846153845","181","506","194.5","64","424","258.5","35","508","382.72727272727275","101","507"
"71000","","","","","","","","","","363.9166666666667","101","507"
"72000","","","","","","","","","","363.9166666666667","101","507"
"73000","","","","","","","","","","363.9166666666667","101","507"
"74000","","","","","","","","","","363.9166666666667","101","507"
"75000","","","","","","","","","","363.9166666666667","101","507"
"76000","","","","","","","","","","363.9166666666667","101","507"
"77000","","","","","","","","","","363.9166666666667","101","507"
"78000","","","","","","","","","","363.9166666666667","101","507"
"79000","","","","","","","","","","363.9166666666667","101","507"
"80000","","","","","","","","","","363.9166666666667","101","507"
"81000","","","","","","","","","","363.9166666666667","101","507"
"82000","","","","","","","","","","363.9166666666667","101","507"
"83000","","","","","","","","","","363.9166666666667","101","507"
"84000","","","","","","","","","","363.9166666666667","101","507"
"85000","","","","","","","","","","363.9166666666667","101","507"
"86000","","","","","","","","","","363.9166666666667","101","507"
"87000","","","","","","","","","","363.9166666666667","101","507"
"88000","","","","","","","","","","363.9166666666667","101","507"
"89000","","","","","","","","","","363.9166666666667","101","507"
"90000","","","","","","","","","","363.9166666666667","101","507"
"91000","","","","","","","","","","363.9166666666667","101","507"
"92000","","","","","","","","","","363.9166666666667","101","507"
"93000","","","","","","","","","","363.9166666666667","101","507"
"93748","379.84615384615387","110","506","208.65384615384616","70","457","257.6923076923077","13","512","368.1818181818182","173","508"
"94000","","","","","","","","","","357","173","508"
"95000","","","","","","","","","","357","173","508"
"96000","","","","","","","","","","357","173","508"
"97000","","","","","","","","","","357","173","508"
"98000","","","","","","","","","","357","173","508"
"99000","","","","","","","","","","357","173","508"
"100000","","","","","","","","","","357","173","508"
"101000","","","","","","","","","","357","173","508"
"102000","","","","","","","","","","357","173","508"
"103000","","","","","","","","","","357","173","508"
"104000","","","","","","","","","","357","173","508"
"105000","","","","","","","","","","357","173","508"
"106000","","","","","","","","","","357","173","508"
"107000","","","","","","","","","","357","173","508"
"108000","","","","","","","","","","357","173","508"
"109000","","","","","","","","","","357","173","508"
"110000","","","","","","","","","","357","173","508"
"111000","","","","","","","","","","357","173","508"
"112000","","","","","","","","","","357","173","508"
"113000","","","","","","","","","","357","173","508"
"114000","","","","","","","","","","357","173","508"
"115000","","","","","","","","","","357","173","508"
"116000","","","","","","","","","","357","173","508"
"117000","","","","","","","","","","357","173","508"
"117185","374.84615384615387","115","506","182.42307692307693","58","379","213.53846153846155","16","489","352.22727272727275","71","507"
"118000","","","","","","","","","","339.75","71","507"
"119000","","","","","","","","","","339.75","71","507"
"120000","","","","","","","","","","339.75","71","507"
"121000","","","","","","","","","","339.75","71","507"
"122000","","","","","","","","","","339.75","71","507"
"123000","","","","","","","","","","339.75","71","507"
"124000","","","","","","","","","","339.75","71","507"
"125000","","","","","","","","","","339.75","71","507"
"126000","","","","","","","","","","339.75","71","507"
"127000","","","","","","","","","","339.75","71","507"
"128000","","","","","","","","","","339.75","71","507"
"129000","","","","","","","","","","339.75","71","507"
"130000","","","","","","","","","","339.75","71","507"
"131000","","","","","","","","","","339.75","71","507"
"132000","","","","","","","","","","339.75","71","507"
"133000","","","","","","","","","","339.75","71","507"
"134000","","","","","","","","","","339.75","71","507"
"135000","","","","","","","","","","339.75","71","507"
"136000","","","","","","","","","","339.75","71","507"
"137000","","","","","","","","","","339.75","71","507"
"138000","","","","","","","","","","339.75","71","507"
"139000","","","","","","","","","","339.75","71","507"
"140000","","","","","","","","","","339.75","71","507"
"140622","362.03846153846155","62","506","173.34615384615384","64","340","198.84615384615384","7","491","338.6363636363636","170","506"
"141000","","","","","","","","","","329.75","170","506"
"142000","","","","","","","","","","329.75","170","506"
"143000","","","","","","","","","","329.75","170","506"
"144000","","","","","","","","","","329.75","170","506"
"145000","","","","","","","","","","329.75","170","506"
"146000","","","","","","","","","","329.75","170","506"
"147000","","","","","","","","","","329.75","170","506"
"148000","","","","","","","","","","329.75","170","506"
"149000","","","","","","","","","","329.75","170","506"
"150000","","","","","","","","","","329.75","170","506"
"151000","","","","","","","","","","329.75","170","506"
"152000","","","","","","","","","","329.75","170","506"
"153000","","","","","","","","","","329.75","170","506"
"154000","","","","","","","","","","329.75","170","506"
"155000","","","","","","","","","","329.75","170","506"
"156000","","","","","","","","","","329.75","170","506"
"157000","","","","","","","","","","329.75","170","506"
"158000","","","","","","","","","","329.75","170","506"
"159000","","","","","","","","","","329.75","170","506"
"160000","","","","","","","","","","329.75","170","506"
"161000","","","","","","","","","","329.75","170","506"
"162000","","","","","","","","","","329.75","170","506"
"163000","","","","","","","","","","329.75","170","506"
"164000","","","","","","","","","","329.75","170","506"
"164059","360.7692307692308","56","508","169.46153846153845","46","340","200.96153846153845","2","507","323.8636363636364","97","507"
"165000","","","","","","","","","","318.75","97","507"
"166000","","","","","","","","","","318.75","97","507"
"167000","","","","","","","","","","318.75","97","507"
"168000","","","","","","","","","","318.75","97","507"
"169000","","","","","","","","","","318.75","97","507"
"170000","","","","","","","","","","318.75","97","507"
"171000","","","","","","","","","","318.75","97","507"
"172000","","","","","","","","","","318.75","97","507"
"173000","","","","","","","","","","318.75","97","507"
"174000","","","","","","","","","","318.75","97","507"
"175000","","","","","","","","","","318.75","97","507"
"176000","","","","","","","","","","318.75","97","507"
"177000","","","","","","","","","","318.75","97","507"
"178000","","","","","","","","","","318.75","97","507"
"179000","","","","","","","","","","318.75","97","507"
"180000","","","","","","","","","","318.75","97","507"
"181000","","","","","","","","","","318.75","97","507"
"182000","","","","","","","","","","318.75","97","507"
"183000","","","","","","","","","","318.75","97","507"
"184000","","","","","","","","","","318.75","97","507"
"185000","","","","","","","","","","318.75","97","507"
"186000","","","","","","","","","","318.75","97","507"
"187000","","","","","","","","","","318.75","97","507"
"187496","358.6923076923077","62","508","169.5","60","356","188.42307692307693","19","498","313.5","58","506"
"188000","","","","","","","","","","311.5","58","506"
"189000","","","","","","","","","","311.5","58","506"
"190000","","","","","","","","","","311.5","58","506"
"191000","","","","","","","","","","311.5","58","506"
"192000","","","","","","","","","","311.5","58","506"
"193000","","","","","","","","","","311.5","58","506"
"194000","","","","","","","","","","311.5","58","506"
"195000","","","","","","","","","","311.5","58","506"
"196000","","","","","","","","","","311.5","58","506"
"197000","","","","","","","","","","311.5","58","506"
"198000","","","","","","","","","","311.5","58","506"
"199000","","","","","","","","","","311.5","58","506"
"200000","","","","","","","","","","311.5","58","506"
"201000","","","","","","","","","","311.5","58","506"
"202000","","","","","","","","","","311.5","58","506"
"203000","","","","","","","","","","311.5","58","506"
"204000","","","","","","","","","","311.5","58","506"
"205000","","","","","","","","","","311.5","58","506"
"206000","","","","","","","","","","311.5","58","506"
"207000","","","","","","","","","","311.5","58","506"
"208000","","","","","","","","","","311.5","58","506"
"209000","","","","","","","","","","311.5","58","506"
"210000","","","","","","","","","","311.5","58","506"
"210933","352.9230769230769","30","507","158.03846153846155","37","343","169.26923076923077","2","497","305.45454545454544","89","507"
"211000","","","","","","","","","","305.4166666666667","116","507"
"212000","","","","","","","","","","305.4166666666667","116","507"
"213000","","","","","","","","","","305.4166666666667","116","507"
"214000","","","","","","","","","","305.4166666666667","116","507"
"215000","","","","","","","","","","305.4166666666667","116","507"
"216000","","","","","","","","","","305.4166666666667","116","507"
"217000","","","","","","","","","","305.4166666666667","116","507"
"218000","","","","","","","","","","305.4166666666667","116","507"
"219000","","","","","","","","","","305.4166666666667","116","507"
"220000","","","","","","","","","","305.4166666666667","116","507"
"221000","","","","","","","","","","305.4166666666667","116","507"
"222000","","","","","","","","","","305.4166666666667","116","507"
"223000","","","","","","","","","","305.4166666666667","116","507"
"224000","","","","","","","","","","305.4166666666667","116","507"
"225000","","","","","","","","","","305.4166666666667","116","507"
"226000","","","","","","","","","","305.4166666666667","116","507"
"227000","","","","","","","","","","305.4166666666667","116","507"
"228000","","","","","","","","","","305.4166666666667","116","507"
"229000","","","","","","","","","","305.4166666666667","116","507"
"230000","","","","","","","","","","305.4166666666667","116","507"
"231000","","","","","","","","","","305.4166666666667","116","507"
"232000","","","","","","","","","","305.4166666666667","116","507"
"233000","","","","","","","","","","305.4166666666667","116","507"
"234000","","","","","","","","","","305.4166666666667","116","507"
"234370","352.2692307692308","14","507","156.42307692307693","48","405","161.15384615384616","0","506","302.90909090909093","55","508"